Date,Cash,Allocated PNL,Allocated % PNL,Allocated,Total PNL,Total % PNL,Total
2023-01-03,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-04,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-05,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-06,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-09,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-10,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-11,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-12,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-13,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-17,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-18,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-19,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-20,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-23,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-24,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-25,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-26,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-27,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-30,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-01-31,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-01,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-02,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-03,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-06,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-07,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-08,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-09,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-10,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-13,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-14,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-15,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-16,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-17,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-21,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-22,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-23,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-24,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-27,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-02-28,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-01,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-02,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-03,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-06,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-07,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-08,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-09,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-10,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-13,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-14,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-15,50000,0.0,0.0,,-50000.0,-1.0,0.0
2023-03-16,0.0,3144.38,0.0,50000,-46855.62,-0.937,3144.38
2023-03-17,0.0,3527.282,0.0,50000,-46472.718,-0.929,3527.282
2023-03-20,0.0,3891.454,0.0,50000,-46108.546,-0.922,3891.454
2023-03-21,0.0,4513.67,0.0,50000,-45486.33,-0.91,4513.67
2023-03-22,0.0,5073.459,0.0,50000,-44926.541,-0.899,5073.459
2023-03-23,0.0,6578.016,0.0,50000,-43421.984,-0.868,6578.016
2023-03-24,0.0,5720.646,0.0,50000,-44279.354,-0.886,5720.646
2023-03-27,0.0,5204.561,0.0,50000,-44795.439,-0.896,5204.561
2023-03-28,0.0,4952.761,0.0,50000,-45047.239,-0.901,4952.761
2023-03-29,0.0,6147.249,0.0,50000,-43852.751,-0.877,6147.249
2023-03-30,0.0,6977.565,0.0,50000,-43022.435,-0.86,6977.565
2023-03-31,0.0,7797.478,0.0,50000,-42202.522,-0.844,7797.478
2023-04-03,0.0,8188.704,0.0,50000,-41811.296,-0.836,8188.704
2023-04-04,0.0,7123.234,0.0,50000,-42876.766,-0.858,7123.234
2023-04-05,0.0,5932.909,0.0,50000,-44067.091,-0.881,5932.909
2023-04-06,0.0,6257.544,0.0,50000,-43742.456,-0.875,6257.544
2023-04-10,0.0,7385.442,0.0,50000,-42614.558,-0.852,7385.442
2023-04-11,0.0,6532.235,0.0,50000,-43467.765,-0.869,6532.235
2023-04-12,0.0,5129.647,0.0,50000,-44870.353,-0.897,5129.647
2023-04-13,0.0,5063.052,0.0,50000,-44936.948,-0.899,5063.052
2023-04-14,0.0,5676.945,0.0,50000,-44323.055,-0.886,5676.945
2023-04-17,0.0,6184.71,0.0,50000,-43815.29,-0.876,6184.71
2023-04-18,0.0,7568.568,0.0,50000,-42431.432,-0.849,7568.568
2023-04-19,0.0,8117.949,0.0,50000,-41882.051,-0.838,8117.949
2023-04-20,0.0,6396.97,0.0,50000,-43603.03,-0.872,6396.97
2023-04-21,0.0,6428.183,0.0,50000,-43571.817,-0.871,6428.183
2023-04-24,0.0,6267.948,0.0,50000,-43732.052,-0.875,6267.948
2023-04-25,0.0,4601.072,0.0,50000,-45398.928,-0.908,4601.072
2023-04-26,0.0,6088.981,0.0,50000,-43911.019,-0.878,6088.981
2023-04-27,0.0,6650.85,0.0,50000,-43349.15,-0.867,6650.85
2023-04-28,0.0,7739.21,0.0,50000,-42260.79,-0.845,7739.21
2023-05-01,0.0,10155.241,0.0,50000,-39844.759,-0.797,10155.241
2023-05-02,0.0,8698.545,0.0,50000,-41301.455,-0.826,8698.545
2023-05-03,0.0,7849.502,0.0,50000,-42150.498,-0.843,7849.502
2023-05-04,0.0,7350.064,0.0,50000,-42649.936,-0.853,7350.064
2023-05-05,0.0,9676.613,0.0,50000,-40323.387,-0.806,9676.613
2023-05-08,0.0,10656.758,0.0,50000,-39343.242,-0.787,10656.758
2023-05-09,0.0,9449.783,0.0,50000,-40550.217,-0.811,9449.783
2023-05-10,0.0,10103.217,0.0,50000,-39896.783,-0.798,10103.217
2023-05-11,0.0,9464.35,0.0,50000,-40535.65,-0.811,9464.35
2023-05-12,0.0,8969.076,0.0,50000,-41030.924,-0.821,8969.076
2023-05-15,0.0,10244.722,0.0,50000,-39755.278,-0.795,10244.722
2023-05-16,0.0,10785.78,0.0,50000,-39214.22,-0.784,10785.78
2023-05-17,0.0,12793.938,0.0,50000,-37206.062,-0.744,12793.938
2023-05-18,0.0,15915.426,0.0,50000,-34084.574,-0.682,15915.426
2023-05-19,0.0,15053.896,0.0,50000,-34946.104,-0.699,15053.896
2023-05-22,0.0,14870.77,0.0,50000,-35129.23,-0.703,14870.77
2023-05-23,0.0,13855.244,0.0,50000,-36144.756,-0.723,13855.244
2023-05-24,0.0,13543.096,0.0,50000,-36456.904,-0.729,13543.096
2023-05-25,0.0,29029.837,0.0,50000,-20970.163,-0.419,29029.837
2023-05-26,0.0,31040.075,0.0,50000,-18959.925,-0.379,31040.075
2023-05-30,0.0,33464.432,0.0,50000,-16535.568,-0.331,33464.432
2023-05-31,0.0,28726.013,0.0,50000,-21273.987,-0.425,28726.013
2023-06-01,0.0,32754.815,0.0,50000,-17245.185,-0.345,32754.815
2023-06-02,0.0,31832.934,0.0,50000,-18167.066,-0.363,31832.934
2023-06-05,0.0,31508.303,0.0,50000,-18491.697,-0.37,31508.303
2023-06-06,0.0,30432.426,0.0,50000,-19567.574,-0.391,30432.426
2023-06-07,0.0,27978.934,0.0,50000,-22021.066,-0.44,27978.934
2023-06-08,0.0,30132.761,0.0,50000,-19867.239,-0.397,30132.761
2023-06-09,0.0,30673.823,0.0,50000,-19326.177,-0.387,30673.823
2023-06-12,0.0,32155.485,0.0,50000,-17844.515,-0.357,32155.485
2023-06-13,0.0,35360.215,0.0,50000,-14639.785,-0.293,35360.215
2023-06-14,0.0,39470.179,0.0,50000,-10529.821,-0.211,39470.179
2023-06-15,0.0,38754.314,0.0,50000,-11245.686,-0.225,38754.314
2023-06-16,0.0,38835.475,0.0,50000,-11164.525,-0.223,38835.475
2023-06-20,0.0,41157.857,0.0,50000,-8842.143,-0.177,41157.857
2023-06-21,0.0,39570.059,0.0,50000,-10429.941,-0.209,39570.059
2023-06-22,0.0,39528.446,0.0,50000,-10471.554,-0.209,39528.446
2023-06-23,0.0,37830.353,0.0,50000,-12169.647,-0.243,37830.353
2023-06-26,0.0,34548.629,0.0,50000,-15451.371,-0.309,34548.629
2023-06-27,0.0,37137.382,0.0,50000,-12862.618,-0.257,37137.382
2023-06-28,0.0,35557.912,0.0,50000,-14442.088,-0.289,35557.912
2023-06-29,0.0,34944.015,0.0,50000,-15055.985,-0.301,34944.015
2023-06-30,0.0,38023.882,0.0,50000,-11976.118,-0.24,38023.882
2023-07-03,0.0,38254.872,0.0,50000,-11745.128,-0.235,38254.872
2023-07-05,0.0,38055.103,0.0,50000,-11944.897,-0.239,38055.103
2023-07-06,0.0,37609.77,0.0,50000,-12390.23,-0.248,37609.77
2023-07-07,0.0,38442.162,0.0,50000,-11557.838,-0.231,38442.162
2023-07-10,0.0,37770.005,0.0,50000,-12229.995,-0.245,37770.005
2023-07-11,0.0,38238.225,0.0,50000,-11761.775,-0.235,38238.225
2023-07-12,0.0,41353.474,0.0,50000,-8646.526,-0.173,41353.474
2023-07-13,0.0,45671.534,0.0,50000,-4328.466,-0.087,45671.534
2023-07-14,0.0,44614.391,0.0,50000,-5385.609,-0.108,44614.391
2023-07-17,0.0,46678.729,0.0,50000,-3321.271,-0.066,46678.729
2023-07-18,0.0,48828.395,0.0,50000,-1171.605,-0.023,48828.395
2023-07-19,0.0,47960.622,0.0,50000,-2039.378,-0.041,47960.622
2023-07-20,0.0,44720.519,0.0,50000,-5279.481,-0.106,44720.519
2023-07-21,0.0,42200.433,0.0,50000,-7799.567,-0.156,42200.433
2023-07-24,0.0,42830.976,0.0,50000,-7169.024,-0.143,42830.976
2023-07-25,0.0,45051.398,0.0,50000,-4948.602,-0.099,45051.398
2023-07-26,0.0,44579.01,0.0,50000,-5420.99,-0.108,44579.01
2023-07-27,0.0,45511.298,0.0,50000,-4488.702,-0.09,45511.298
2023-07-28,0.0,47280.138,0.0,50000,-2719.862,-0.054,47280.138
2023-07-31,0.0,47236.438,0.0,50000,-2763.562,-0.055,47236.438
2023-08-01,0.0,46774.457,0.0,50000,-3225.543,-0.065,46774.457
2023-08-02,0.0,42117.199,0.0,50000,-7882.801,-0.158,42117.199
2023-08-03,0.0,42629.12,0.0,50000,-7370.88,-0.147,42629.12
2023-08-04,0.0,42972.485,0.0,50000,-7027.515,-0.141,42972.485
2023-08-07,0.0,44506.176,0.0,50000,-5493.824,-0.11,44506.176
2023-08-08,0.0,42939.192,0.0,50000,-7060.808,-0.141,42939.192
2023-08-09,0.0,38548.298,0.0,50000,-11451.702,-0.229,38548.298
2023-08-10,0.0,38202.852,0.0,50000,-11797.148,-0.236,38202.852
2023-08-11,0.0,35012.689,0.0,50000,-14987.311,-0.3,35012.689
2023-08-14,0.0,41043.402,0.0,50000,-8956.598,-0.179,41043.402
2023-08-15,0.0,41432.548,0.0,50000,-8567.452,-0.171,41432.548
2023-08-16,0.0,40487.78,0.0,50000,-9512.22,-0.19,40487.78
2023-08-17,0.0,40192.283,0.0,50000,-9807.717,-0.196,40192.283
2023-08-18,0.0,40098.634,0.0,50000,-9901.366,-0.198,40098.634
2023-08-21,0.0,47731.712,0.0,50000,-2268.288,-0.045,47731.712
2023-08-22,0.0,45028.503,0.0,50000,-4971.497,-0.099,45028.503
2023-08-23,0.0,48041.784,0.0,50000,-1958.216,-0.039,48041.784
2023-08-24,0.0,48139.584,0.0,50000,-1860.416,-0.037,48139.584
2023-08-25,0.0,45756.855,0.0,50000,-4243.145,-0.085,45756.855
2023-08-28,0.0,47457.021,0.0,50000,-2542.979,-0.051,47457.021
2023-08-29,0.0,51512.877,0.0,50000,1512.877,0.03,51512.877
2023-08-30,0.0,52511.752,0.0,50000,2511.752,0.05,52511.752
2023-08-31,0.0,52701.121,0.0,50000,2701.121,0.054,52701.121
2023-09-01,0.0,50940.601,0.0,50000,940.601,0.019,50940.601
2023-09-05,0.0,51021.763,0.0,50000,1021.763,0.02,51021.763
2023-09-06,0.0,47927.328,0.0,50000,-2072.672,-0.041,47927.328
2023-09-07,0.0,46220.916,0.0,50000,-3779.084,-0.076,46220.916
2023-09-08,0.0,44828.727,0.0,50000,-5171.273,-0.103,44828.727
2023-09-11,0.0,44008.822,0.0,50000,-5991.178,-0.12,44008.822
2023-09-12,0.0,43367.871,0.0,50000,-6632.129,-0.133,43367.871
2023-09-13,0.0,44647.685,0.0,50000,-5352.315,-0.107,44647.685
2023-09-14,0.0,44847.461,0.0,50000,-5152.539,-0.103,44847.461
2023-09-15,0.0,41349.314,0.0,50000,-8650.686,-0.173,41349.314
2023-09-18,0.0,41486.656,0.0,50000,-8513.344,-0.17,41486.656
2023-09-19,0.0,40558.535,0.0,50000,-9441.465,-0.189,40558.535
2023-09-20,0.0,37892.78,0.0,50000,-12107.22,-0.242,37892.78
2023-09-21,0.0,35349.808,0.0,50000,-14650.192,-0.293,35349.808
2023-09-22,0.0,36583.841,0.0,50000,-13416.159,-0.268,36583.841
2023-09-25,0.0,37857.407,0.0,50000,-12142.593,-0.243,37857.407
2023-09-26,0.0,37210.216,0.0,50000,-12789.784,-0.256,37210.216
2023-09-27,0.0,38369.327,0.0,50000,-11630.673,-0.233,38369.327
2023-09-28,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-09-29,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-02,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-03,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-04,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-05,88352.681,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-06,0.0,3142.817,0.0,88352.681,-46857.183,-0.937,3142.817
2023-10-09,0.0,2165.181,0.0,88352.681,-47834.819,-0.957,2165.181
2023-10-10,0.0,3214.788,0.0,88352.681,-46785.212,-0.936,3214.788
2023-10-11,0.0,5230.027,0.0,88352.681,-44769.973,-0.895,5230.027
2023-10-12,0.0,5507.922,0.0,88352.681,-44492.078,-0.89,5507.922
2023-10-13,0.0,2541.039,0.0,88352.681,-47458.961,-0.949,2541.039
2023-10-16,0.0,3808.566,0.0,88352.681,-46191.434,-0.924,3808.566
2023-10-17,0.0,-503.811,0.0,88352.681,-50503.811,-1.01,-503.811
2023-10-18,0.0,-3986.498,0.0,88352.681,-53986.498,-1.08,-3986.498
2023-10-19,0.0,-4176.421,0.0,88352.681,-54176.421,-1.084,-4176.421
2023-10-20,0.0,-5603.884,0.0,88352.681,-55603.884,-1.112,-5603.884
2023-10-23,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-24,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-25,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-26,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-30,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-10-31,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-01,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-02,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-03,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-06,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-07,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-08,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-09,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-10,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-13,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-14,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-15,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-16,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-17,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-20,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-21,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-22,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-24,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-28,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-29,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-11-30,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-01,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-04,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-05,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-06,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-07,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-08,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-11,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-12,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-13,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-14,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-15,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-18,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-19,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-20,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-21,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-22,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-26,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-27,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-28,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
2023-12-29,82432.914,0.0,0.0,,-50000.0,-1.0,0.0
